model,train_time_s,val_accuracy,val_macro_f1,val_f1_positive,val_false_alarm_rate,test_accuracy,test_macro_f1,test_f1_positive,test_false_alarm_rate
Random Forest,0.34,0.9779,0.9327,0.9879,0.0,0.9797,0.9377,0.9889,0.0
SVM (RBF),1.89,0.9926,0.9758,0.996,0.0,0.9871,0.9588,0.993,0.0
